depart1 | time: 97.036499
depart1 | time: 97.060707
arrive2 | time: 97.198517
arrive1 | time: 97.728104
depart1 | time: 98.434196
arrive1 | time: 99.143143
depart1 | time: 99.250427
arrive1 | time: 100.945625
arrive1 | time: 102.782005
arrive1 | time: 103.203621
depart1 | time: 103.269844
depart1 | time: 103.315186
depart1 | time: 103.628784
arrive1 | time: 104.457657
arrive2 | time: 104.809380
arrive1 | time: 105.086777
arrive1 | time: 105.401466
depart1 | time: 105.932068
arrive2 | time: 106.015976
arrive1 | time: 106.788757
arrive1 | time: 106.944542
depart1 | time: 107.198044
depart1 | time: 107.736572
depart1 | time: 107.899803
depart1 | time: 108.031158
arrive1 | time: 108.756851
arrive1 | time: 108.804329
arrive1 | time: 108.876785
arrive2 | time: 109.185509
depart1 | time: 109.212914
arrive1 | time: 109.600723
arrive1 | time: 109.638489
depart1 | time: 110.342720
depart1 | time: 110.844215
arrive2 | time: 111.053619
depart1 | time: 111.175262
depart1 | time: 111.197731
arrive1 | time: 111.495224
depart1 | time: 111.723930
arrive1 | time: 112.282402
arrive2 | time: 112.310204
depart1 | time: 113.187080
arrive1 | time: 113.712524
arrive1 | time: 114.103096
arrive1 | time: 114.522751
depart1 | time: 114.672737
depart1 | time: 115.538078
depart1 | time: 116.319496
arrive2 | time: 116.593163
arrive1 | time: 119.409645
depart1 | time: 119.565559
arrive1 | time: 119.869034
arrive1 | time: 120.026939
arrive1 | time: 120.328346
depart1 | time: 120.339455
depart1 | time: 120.704063
depart1 | time: 121.329620
arrive2 | time: 122.391914
arrive1 | time: 122.447929
depart1 | time: 122.768539
arrive1 | time: 122.817131
depart1 | time: 122.857094
arrive1 | time: 123.527870
depart1 | time: 123.651939
arrive1 | time: 124.174767
depart1 | time: 124.939339
arrive1 | time: 125.154922
depart1 | time: 125.470680
arrive1 | time: 125.672073
depart1 | time: 125.961784
arrive1 | time: 126.076736
depart1 | time: 126.311852
arrive1 | time: 128.230072
depart1 | time: 128.301224
arrive1 | time: 128.599503
arrive1 | time: 128.785828
arrive1 | time: 128.894867
arrive1 | time: 129.393005
depart1 | time: 129.407700
arrive1 | time: 129.727951
arrive1 | time: 130.359680
depart1 | time: 130.365845
depart1 | time: 130.596161
depart1 | time: 130.742004
depart1 | time: 130.897202
arrive2 | time: 131.191650
arrive1 | time: 131.525253
depart1 | time: 131.717651
arrive1 | time: 131.783798
depart1 | time: 132.343567
arrive1 | time: 132.596848
arrive1 | time: 132.908859
depart1 | time: 132.939896
depart1 | time: 132.947708
depart1 | time: 132.989090
arrive2 | time: 134.431473
arrive1 | time: 134.639801
arrive1 | time: 134.942459
depart1 | time: 135.272568
arrive2 | time: 135.291611
arrive1 | time: 135.797287
arrive1 | time: 136.406372
depart1 | time: 136.776947
